[13:43:02]  [System] A corrupted file has been entered. Requesting new one... 
[15:55:55]  Created test_1
[15:55:55]  Created test_2
[15:55:55]  Created test_3
[15:55:55]  Created test_4
[15:55:55]  Created test_5
[15:55:55]  [UDP] Broadcasted chunks.
[15:55:55]  [TCP] Listening...
[15:55:55]  [System] Listening broadcast...
[15:56:51]  Created test_1
[15:56:51]  Created test_2
[15:56:51]  Created test_3
[15:56:51]  Created test_4
[15:56:51]  Created test_5
[15:56:51]  [UDP] Broadcasted chunks.
[15:56:51]  [System] Listening broadcast...
[15:56:51]  [TCP] Listening...
[15:57:01]  [UDP] Broadcasted chunks.
[15:57:11]  [UDP] Broadcasted chunks.
[15:57:21]  [UDP] Broadcasted chunks.
[15:57:31]  [UDP] Broadcasted chunks.
[15:57:41]  [UDP] Broadcasted chunks.
[15:57:51]  [UDP] Broadcasted chunks.
[15:58:01]  [UDP] Broadcasted chunks.
[15:58:06]  [TCP] Downloading bela_1...
[15:58:11]  [UDP] Broadcasted chunks.
[15:58:21]  [UDP] Broadcasted chunks.
[15:58:35]  [System] A nonexistent or corrupted file has been entered. Requesting new one... 
[15:58:35]  Created test_1
[15:58:35]  Created test_2
[15:58:35]  Created test_3
[15:58:35]  Created test_4
[15:58:35]  Created test_5
[15:58:35]  [System] Listening broadcast...
[15:58:35]  [TCP] Listening...
[15:58:35]  [UDP] Broadcasted chunks.
[15:58:43]  [TCP] Downloading bela_1...
[15:58:43]  [TCP] File data received: 2048
[15:58:43]  [TCP] File data received: 4096
[15:58:43]  [TCP] File data received: 6144
[15:58:43]  [TCP] File data received: 8192
[15:58:43]  [TCP] File data received: 10240
[15:58:43]  [TCP] File data received: 12288
[15:58:43]  [TCP] File data received: 14336
[15:58:43]  [TCP] File data received: 16384
[15:58:43]  [TCP] File data received: 18432
[15:58:43]  [TCP] File data received: 20480
[15:58:43]  [TCP] File data received: 22528
[15:58:43]  [TCP] File data received: 24576
[15:58:43]  [TCP] File data received: 26624
[15:58:43]  [TCP] File data received: 28672
[15:58:43]  [TCP] File data received: 30720
[15:58:43]  [TCP] File data received: 32768
[15:58:43]  [TCP] File data received: 34816
[15:58:43]  [TCP] File data received: 36864
[15:58:43]  [TCP] File data received: 38912
[15:58:43]  [TCP] File data received: 40960
[15:58:43]  [TCP] File data received: 43008
[15:58:43]  [TCP] File data received: 45056
[15:58:43]  [TCP] File data received: 47104
[15:58:43]  [TCP] File data received: 49152
[15:58:43]  [TCP] File data received: 51200
[15:58:43]  [TCP] File data received: 53248
[15:58:43]  [TCP] File data received: 55296
[15:58:43]  [TCP] File data received: 57344
[15:58:43]  [TCP] File data received: 59392
[15:58:43]  [TCP] File data received: 61440
[15:58:43]  [TCP] File data received: 63488
[15:58:43]  [TCP] File data received: 65536
[15:58:43]  [TCP] File data received: 67584
[15:58:43]  [TCP] File data received: 69632
[15:58:43]  [TCP] File data received: 71680
[15:58:43]  [TCP] File data received: 73728
[15:58:43]  [TCP] File data received: 75776
[15:58:43]  [TCP] File data received: 77824
[15:58:43]  [TCP] File data received: 79872
[15:58:44]  [TCP] File data received: 81920
[15:58:44]  [TCP] File data received: 83968
[15:58:44]  [TCP] File data received: 86016
[15:58:44]  [TCP] File data received: 88064
[15:58:44]  [TCP] File data received: 90112
[15:58:44]  [TCP] File data received: 92160
[15:58:44]  [TCP] File data received: 94208
[15:58:44]  [TCP] File data received: 96256
[15:58:44]  [TCP] File data received: 98304
[15:58:44]  [TCP] File data received: 100352
[15:58:44]  [TCP] File data received: 102400
[15:58:44]  [TCP] File data received: 104448
[15:58:44]  [TCP] File data received: 106496
[15:58:44]  [TCP] File data received: 108544
[15:58:44]  [TCP] File data received: 110592
[15:58:44]  [TCP] File data received: 112640
[15:58:44]  [TCP] File data received: 114688
[15:58:44]  [TCP] File data received: 116736
[15:58:44]  [TCP] File data received: 118784
[15:58:44]  [TCP] File data received: 120832
[15:58:44]  [TCP] File data received: 122880
[15:58:44]  [TCP] File data received: 124928
[15:58:44]  [TCP] File data received: 126976
[15:58:44]  [TCP] File data received: 129024
[15:58:44]  [TCP] File data received: 131072
[15:58:44]  [TCP] File data received: 133120
[15:58:44]  [TCP] File data received: 135168
[15:58:44]  [TCP] File data received: 137216
[15:58:44]  [TCP] File data received: 139264
[15:58:44]  [TCP] File data received: 141312
[15:58:44]  [TCP] File data received: 143360
[15:58:44]  [TCP] File data received: 145408
[15:58:44]  [TCP] File data received: 147456
[15:58:44]  [TCP] File data received: 149504
[15:58:44]  [TCP] File data received: 151552
[15:58:44]  [TCP] File data received: 153600
[15:58:44]  [TCP] File data received: 155648
[15:58:44]  [TCP] File data received: 157696
[15:58:44]  [TCP] File data received: 159744
[15:58:44]  [TCP] File data received: 161792
[15:58:44]  [TCP] File data received: 163840
[15:58:44]  [TCP] File data received: 165888
[15:58:44]  [TCP] File data received: 167936
[15:58:44]  [TCP] File data received: 169984
[15:58:44]  [TCP] File data received: 172032
[15:58:44]  [TCP] File data received: 174080
[15:58:44]  [TCP] File data received: 176128
[15:58:44]  [TCP] File data received: 178176
[15:58:44]  [TCP] File data received: 180224
[15:58:44]  [TCP] File data received: 182272
[15:58:44]  [TCP] File data received: 184320
[15:58:44]  [TCP] File data received: 186368
[15:58:44]  [TCP] File data received: 188416
[15:58:44]  [TCP] File data received: 190464
[15:58:44]  [TCP] File data received: 192512
[15:58:44]  [TCP] File data received: 194560
[15:58:44]  [TCP] File data received: 196608
[15:58:44]  [TCP] File data received: 198656
[15:58:44]  [TCP] File data received: 200704
[15:58:44]  [TCP] File data received: 202752
[15:58:44]  [TCP] File data received: 204800
[15:58:44]  [TCP] File data received: 206848
[15:58:44]  [TCP] File data received: 208896
[15:58:44]  [TCP] File data received: 210944
[15:58:44]  [TCP] File data received: 212992
[15:58:44]  [TCP] File data received: 215040
[15:58:44]  [TCP] File data received: 217088
[15:58:44]  [TCP] File data received: 219136
[15:58:44]  [TCP] File data received: 221184
[15:58:44]  [TCP] File data received: 223232
[15:58:44]  [TCP] File data received: 225280
[15:58:44]  [TCP] File data received: 227328
[15:58:44]  [TCP] File data received: 229376
[15:58:44]  [TCP] File data received: 231424
[15:58:44]  [TCP] File data received: 233472
[15:58:44]  [TCP] File data received: 235520
[15:58:44]  [TCP] File data received: 237568
[15:58:44]  [TCP] File data received: 239616
[15:58:44]  [TCP] File data received: 241664
[15:58:44]  [TCP] File data received: 243712
[15:58:44]  [TCP] File data received: 245760
[15:58:44]  [TCP] File data received: 247808
[15:58:44]  [TCP] File data received: 249856
[15:58:44]  [TCP] File data received: 251904
[15:58:44]  [TCP] File data received: 253952
[15:58:44]  [TCP] File data received: 256000
[15:58:44]  [TCP] File data received: 258048
[15:58:44]  [TCP] File data received: 260096
[15:58:44]  [TCP] File data received: 262144
[15:58:44]  [TCP] File data received: 264192
[15:58:44]  [TCP] File data received: 266240
[15:58:44]  [TCP] File data received: 268288
[15:58:44]  [TCP] File data received: 270336
[15:58:44]  [TCP] File data received: 272384
[15:58:44]  [TCP] File data received: 274432
[15:58:44]  [TCP] File data received: 276480
[15:58:44]  [TCP] File data received: 278528
[15:58:44]  [TCP] File data received: 280576
[15:58:44]  [TCP] File data received: 282624
[15:58:44]  [TCP] File data received: 284672
[15:58:44]  [TCP] File data received: 286720
[15:58:44]  [TCP] File data received: 288768
[15:58:44]  [TCP] File data received: 290816
[15:58:44]  [TCP] File data received: 292864
[15:58:44]  [TCP] File data received: 294912
[15:58:44]  [TCP] File data received: 296960
[15:58:44]  [TCP] File data received: 299008
[15:58:44]  [TCP] File data received: 301056
[15:58:44]  [TCP] File data received: 303104
[15:58:44]  [TCP] File data received: 305152
[15:58:44]  [TCP] File data received: 307200
[15:58:44]  [TCP] File data received: 309248
[15:58:44]  [TCP] File data received: 311296
[15:58:44]  [TCP] File data received: 313344
[15:58:44]  [TCP] File data received: 315392
[15:58:44]  [TCP] File data received: 317440
[15:58:44]  [TCP] File data received: 319488
[15:58:44]  [TCP] File data received: 321536
[15:58:44]  [TCP] File data received: 323584
[15:58:44]  [TCP] File data received: 325632
[15:58:44]  [TCP] File data received: 327680
[15:58:44]  [TCP] File data received: 329728
[15:58:44]  [TCP] File data received: 331776
[15:58:44]  [TCP] File data received: 333824
[15:58:44]  [TCP] File data received: 335872
[15:58:44]  [TCP] File data received: 337920
[15:58:44]  [TCP] File data received: 339968
[15:58:44]  [TCP] File data received: 342016
[15:58:44]  [TCP] File data received: 344064
[15:58:44]  [TCP] File data received: 346112
[15:58:44]  [TCP] File data received: 348160
[15:58:44]  [TCP] File data received: 350208
[15:58:44]  [TCP] File data received: 352256
[15:58:44]  [TCP] File data received: 354304
[15:58:44]  [TCP] File data received: 356352
[15:58:44]  [TCP] File data received: 358400
[15:58:44]  [TCP] File data received: 360448
[15:58:44]  [TCP] File data received: 362496
[15:58:44]  [TCP] File data received: 364544
[15:58:44]  [TCP] File data received: 366592
[15:58:44]  [TCP] File data received: 368640
[15:58:44]  [TCP] File data received: 370688
[15:58:44]  [TCP] File data received: 372736
[15:58:44]  [TCP] File data received: 374784
[15:58:44]  [TCP] File data received: 376832
[15:58:44]  [TCP] File data received: 378880
[15:58:44]  [TCP] File data received: 380928
[15:58:44]  [TCP] File data received: 382976
[15:58:44]  [TCP] File data received: 385024
[15:58:44]  [TCP] File data received: 387072
[15:58:44]  [TCP] File data received: 389120
[15:58:44]  [TCP] File data received: 391168
[15:58:44]  [TCP] File data received: 393216
[15:58:44]  [TCP] File data received: 395264
[15:58:44]  [TCP] File data received: 397312
[15:58:44]  [TCP] File data received: 399360
[15:58:44]  [TCP] File data received: 401408
[15:58:44]  [TCP] File data received: 403456
[15:58:44]  [TCP] File data received: 405504
[15:58:44]  [TCP] File data received: 407552
[15:58:44]  [TCP] File data received: 409600
[15:58:44]  [TCP] File data received: 411648
[15:58:44]  [TCP] File data received: 413696
[15:58:44]  [TCP] File data received: 415744
[15:58:44]  [TCP] File data received: 417792
[15:58:44]  [TCP] File data received: 419840
[15:58:44]  [TCP] File data received: 421888
[15:58:44]  [TCP] File data received: 423936
[15:58:44]  [TCP] File data received: 425984
[15:58:44]  [TCP] File data received: 428032
[15:58:44]  [TCP] File data received: 430080
[15:58:44]  [TCP] File data received: 432128
[15:58:44]  [TCP] File data received: 434176
[15:58:44]  [TCP] File data received: 436224
[15:58:44]  [TCP] File data received: 438272
[15:58:44]  [TCP] File data received: 440320
[15:58:44]  [TCP] File data received: 442368
[15:58:44]  [TCP] File data received: 444416
[15:58:44]  [TCP] File data received: 446464
[15:58:44]  [TCP] File data received: 448512
[15:58:44]  [TCP] File data received: 450560
[15:58:44]  [TCP] File data received: 452608
[15:58:44]  [TCP] File data received: 454656
[15:58:44]  [TCP] File data received: 456704
[15:58:44]  [TCP] File data received: 458752
[15:58:44]  [TCP] File data received: 460800
[15:58:44]  [TCP] File data received: 462848
[15:58:44]  [TCP] File data received: 464896
[15:58:44]  [TCP] File data received: 466944
[15:58:44]  [TCP] File data received: 468992
[15:58:44]  [TCP] File data received: 471040
[15:58:44]  [TCP] File data received: 473088
[15:58:44]  [TCP] File data received: 475136
[15:58:44]  [TCP] File data received: 477184
[15:58:44]  [TCP] File data received: 479232
[15:58:44]  [TCP] File data received: 481280
[15:58:44]  [TCP] File data received: 483328
[15:58:44]  [TCP] File data received: 485376
[15:58:44]  [TCP] File data received: 487424
[15:58:44]  [TCP] File data received: 489472
[15:58:44]  [TCP] File data received: 491520
[15:58:44]  [TCP] File data received: 493568
[15:58:44]  [TCP] File data received: 495616
[15:58:44]  [TCP] File data received: 497664
[15:58:44]  [TCP] File data received: 499712
[15:58:44]  [TCP] File data received: 501760
[15:58:44]  [TCP] File data received: 503808
[15:58:44]  [TCP] File data received: 505856
[15:58:44]  [TCP] File data received: 507904
[15:58:44]  [TCP] File data received: 509952
[15:58:44]  [TCP] File data received: 512000
[15:58:44]  [TCP] File data received: 514048
[15:58:44]  [TCP] File data received: 516096
[15:58:44]  [TCP] File data received: 518144
[15:58:44]  [TCP] File data received: 520192
[15:58:44]  [TCP] File data received: 522240
[15:58:44]  [TCP] File data received: 524288
[15:58:44]  [TCP] File data received: 526336
[15:58:44]  [TCP] File data received: 528384
[15:58:44]  [TCP] File data received: 530432
[15:58:44]  [TCP] File data received: 532480
[15:58:44]  [TCP] File data received: 534528
[15:58:44]  [TCP] File data received: 536576
[15:58:44]  [TCP] File data received: 538624
[15:58:44]  [TCP] File data received: 540672
[15:58:44]  [TCP] File data received: 542720
[15:58:44]  [TCP] File data received: 544768
[15:58:44]  [TCP] File data received: 546816
[15:58:44]  [TCP] File data received: 548864
[15:58:44]  [TCP] File data received: 550912
[15:58:44]  [TCP] File data received: 552960
[15:58:44]  [TCP] File data received: 555008
[15:58:44]  [TCP] File data received: 557056
[15:58:44]  [TCP] File data received: 559104
[15:58:44]  [TCP] File data received: 561152
[15:58:44]  [TCP] File data received: 563200
[15:58:44]  [TCP] File data received: 565248
[15:58:44]  [TCP] File data received: 567296
[15:58:44]  [TCP] File data received: 569344
[15:58:44]  [TCP] File data received: 571392
[15:58:44]  [TCP] File data received: 573440
[15:58:44]  [TCP] File data received: 575488
[15:58:44]  [TCP] File data received: 577536
[15:58:44]  [TCP] File data received: 579584
[15:58:44]  [TCP] File data received: 581632
[15:58:44]  [TCP] File data received: 583680
[15:58:44]  [TCP] File data received: 585728
[15:58:44]  [TCP] File data received: 587776
[15:58:44]  [TCP] File data received: 589824
[15:58:44]  [TCP] File data received: 591872
[15:58:44]  [TCP] File data received: 593920
[15:58:44]  [TCP] File data received: 595968
[15:58:44]  [TCP] File data received: 598016
[15:58:44]  [TCP] File data received: 600064
[15:58:44]  [TCP] File data received: 602112
[15:58:44]  [TCP] File data received: 604160
[15:58:44]  [TCP] File data received: 606208
[15:58:44]  [TCP] File data received: 608256
[15:58:44]  [TCP] File data received: 610304
[15:58:44]  [TCP] File data received: 612352
[15:58:44]  [TCP] File data received: 614400
[15:58:44]  [TCP] File data received: 616448
[15:58:44]  [TCP] File data received: 618496
[15:58:44]  [TCP] File data received: 620544
[15:58:44]  [TCP] File data received: 622592
[15:58:44]  [TCP] File data received: 624640
[15:58:44]  [TCP] File data received: 626688
[15:58:44]  [TCP] File data received: 628736
[15:58:44]  [TCP] File data received: 630784
[15:58:44]  [TCP] File data received: 632832
[15:58:44]  [TCP] File data received: 634880
[15:58:44]  [TCP] File data received: 636928
[15:58:44]  [TCP] File data received: 638976
[15:58:44]  [TCP] File data received: 641024
[15:58:44]  [TCP] File data received: 643072
[15:58:44]  [TCP] File data received: 645120
[15:58:45]  [TCP] File data received: 647168
[15:58:45]  [TCP] File data received: 649216
[15:58:45]  [TCP] File data received: 651264
[15:58:45]  [TCP] File data received: 653312
[15:58:45]  [TCP] File data received: 655360
[15:58:45]  [TCP] File data received: 657408
[15:58:45]  [TCP] File data received: 659456
[15:58:45]  [TCP] File data received: 661504
[15:58:45]  [TCP] File data received: 663552
[15:58:45]  [TCP] File data received: 665600
[15:58:45]  [TCP] File data received: 667648
[15:58:45]  [TCP] File data received: 669696
[15:58:45]  [TCP] File data received: 671744
[15:58:45]  [TCP] File data received: 673792
[15:58:45]  [TCP] File data received: 675840
[15:58:45]  [TCP] File data received: 677888
[15:58:45]  [TCP] File data received: 679936
[15:58:45]  [TCP] File data received: 681984
[15:58:45]  [TCP] File data received: 684032
[15:58:45]  [TCP] File data received: 686080
[15:58:45]  [TCP] File data received: 688128
[15:58:45]  [TCP] File data received: 690176
[15:58:45]  [TCP] File data received: 692224
[15:58:45]  [TCP] File data received: 694272
[15:58:45]  [TCP] File data received: 696320
[15:58:45]  [TCP] File data received: 698368
[15:58:45]  [TCP] File data received: 700416
[15:58:45]  [TCP] File data received: 702464
[15:58:45]  [TCP] File data received: 704512
[15:58:45]  [TCP] File data received: 706560
[15:58:45]  [TCP] File data received: 708608
[15:58:45]  [TCP] File data received: 710656
[15:58:45]  [TCP] File data received: 712704
[15:58:45]  [TCP] File data received: 714752
[15:58:45]  [TCP] File data received: 716800
[15:58:45]  [TCP] File data received: 718848
[15:58:45]  [TCP] File data received: 720896
[15:58:45]  [TCP] File data received: 722944
[15:58:45]  [TCP] File data received: 724992
[15:58:45]  [TCP] File data received: 727040
[15:58:45]  [TCP] File data received: 729088
[15:58:45]  [TCP] File data received: 731136
[15:58:45]  [TCP] File data received: 733184
[15:58:45]  [TCP] File data received: 735232
[15:58:45]  [TCP] File data received: 737280
[15:58:45]  [TCP] File data received: 739328
[15:58:45]  [TCP] File data received: 741376
[15:58:45]  [TCP] File data received: 743424
[15:58:45]  [TCP] File data received: 745472
[15:58:45]  [TCP] File data received: 747520
[15:58:45]  [TCP] File data received: 749568
[15:58:45]  [TCP] File data received: 751616
[15:58:45]  [TCP] File data received: 753664
[15:58:45]  [TCP] File data received: 755712
[15:58:45]  [TCP] File data received: 757760
[15:58:45]  [TCP] File data received: 759808
[15:58:45]  [TCP] File data received: 761856
[15:58:45]  [TCP] File data received: 763904
[15:58:45]  [TCP] File data received: 765952
[15:58:45]  [TCP] File data received: 768000
[15:58:45]  [TCP] File data received: 770048
[15:58:45]  [TCP] File data received: 772096
[15:58:45]  [TCP] File data received: 774144
[15:58:45]  [TCP] File data received: 776192
[15:58:45]  [TCP] File data received: 778240
[15:58:45]  [TCP] File data received: 780288
[15:58:45]  [TCP] File data received: 782336
[15:58:45]  [TCP] File data received: 784384
[15:58:45]  [TCP] File data received: 786432
[15:58:45]  [TCP] File data received: 788480
[15:58:45]  [TCP] File data received: 790528
[15:58:45]  [TCP] File data received: 792576
[15:58:45]  [TCP] File data received: 794624
[15:58:45]  [TCP] File data received: 796672
[15:58:45]  [TCP] File data received: 798720
[15:58:45]  [TCP] File data received: 800768
[15:58:45]  [TCP] File data received: 802816
[15:58:45]  [TCP] File data received: 804864
[15:58:45]  [TCP] File data received: 806912
[15:58:45]  [TCP] File data received: 808960
[15:58:45]  [TCP] File data received: 811008
[15:58:45]  [TCP] File data received: 813056
[15:58:45]  [TCP] File data received: 815104
[15:58:45]  [TCP] File data received: 817152
[15:58:45]  [TCP] File data received: 819200
[15:58:45]  [TCP] File data received: 821248
[15:58:45]  [TCP] File data received: 823296
[15:58:45]  [TCP] File data received: 825344
[15:58:45]  [TCP] File data received: 827392
[15:58:45]  [TCP] File data received: 829440
[15:58:45]  [TCP] File data received: 831488
[15:58:45]  [TCP] File data received: 833536
[15:58:45]  [TCP] File data received: 835584
[15:58:45]  [TCP] File data received: 837632
[15:58:45]  [TCP] File data received: 839680
[15:58:45]  [TCP] File data received: 841728
[15:58:45]  [TCP] File data received: 843776
[15:58:45]  [TCP] File data received: 845824
[15:58:45]  [TCP] File data received: 847872
[15:58:45]  [TCP] File data received: 849920
[15:58:45]  [TCP] File data received: 851968
[15:58:45]  [TCP] File data received: 854016
[15:58:45]  [TCP] File data received: 856064
[15:58:45]  [TCP] File data received: 858112
[15:58:45]  [TCP] File data received: 860160
[15:58:45]  [TCP] File data received: 862208
[15:58:45]  [TCP] File data received: 864256
[15:58:45]  [TCP] File data received: 866304
[15:58:45]  [TCP] File data received: 868352
[15:58:45]  [TCP] File data received: 870400
[15:58:45]  [TCP] File data received: 872448
[15:58:45]  [TCP] File data received: 874496
[15:58:45]  [TCP] File data received: 876544
[15:58:45]  [TCP] File data received: 878592
[15:58:45]  [TCP] File data received: 880640
[15:58:45]  [TCP] File data received: 882688
[15:58:45]  [TCP] File data received: 884736
[15:58:45]  [TCP] File data received: 886784
[15:58:45]  [TCP] File data received: 888832
[15:58:45]  [TCP] File data received: 890880
[15:58:45]  [TCP] File data received: 892928
[15:58:45]  [TCP] File data received: 894976
[15:58:45]  [TCP] File data received: 897024
[15:58:45]  [TCP] File data received: 899072
[15:58:45]  [TCP] File data received: 901120
[15:58:45]  [TCP] File data received: 903168
[15:58:45]  [TCP] File data received: 905216
[15:58:45]  [TCP] File data received: 907264
[15:58:45]  [TCP] File data received: 909312
[15:58:45]  [TCP] File data received: 911360
[15:58:45]  [TCP] File data received: 913408
[15:58:45]  [TCP] File data received: 915456
[15:58:45]  [TCP] File data received: 917504
[15:58:45]  [TCP] File data received: 919552
[15:58:45]  [TCP] File data received: 921600
[15:58:45]  [TCP] File data received: 923648
[15:58:45]  [TCP] File data received: 925696
[15:58:45]  [TCP] File data received: 927744
[15:58:45]  [TCP] File data received: 929792
[15:58:45]  [TCP] File data received: 931840
[15:58:45]  [TCP] File data received: 933888
[15:58:45]  [TCP] File data received: 935936
[15:58:45]  [TCP] File data received: 937984
[15:58:45]  [TCP] File data received: 940032
[15:58:45]  [TCP] File data received: 942080
[15:58:45]  [TCP] File data received: 944128
[15:58:45]  [TCP] File data received: 946176
[15:58:45]  [TCP] File data received: 948224
[15:58:45]  [TCP] File data received: 950272
[15:58:45]  [TCP] File data received: 952320
[15:58:45]  [TCP] File data received: 954368
[15:58:45]  [TCP] File data received: 956416
[15:58:45]  [TCP] File data received: 958464
[15:58:45]  [TCP] File data received: 960512
[15:58:45]  [TCP] File data received: 962560
[15:58:45]  [TCP] File data received: 964608
[15:58:45]  [TCP] File data received: 966656
[15:58:45]  [TCP] File data received: 968704
[15:58:45]  [TCP] File data received: 970752
[15:58:45]  [TCP] File data received: 972800
[15:58:45]  [TCP] File data received: 974848
[15:58:45]  [TCP] File data received: 976896
[15:58:45]  [TCP] File data received: 978944
[15:58:45]  [TCP] File data received: 980992
[15:58:45]  [TCP] File data received: 983040
[15:58:45]  [TCP] File data received: 985088
[15:58:45]  [TCP] File data received: 987136
[15:58:45]  [TCP] File data received: 989184
[15:58:45]  [TCP] File data received: 991232
[15:58:45]  [TCP] File data received: 993280
[15:58:45]  [TCP] File data received: 995328
[15:58:45]  [TCP] File data received: 997376
[15:58:45]  [TCP] File data received: 999424
[15:58:45]  [TCP] File data received: 1001472
[15:58:45]  [TCP] File data received: 1003520
[15:58:45]  [TCP] File data received: 1005568
[15:58:45]  [TCP] File data received: 1007616
[15:58:45]  [TCP] File data received: 1009664
[15:58:45]  [TCP] File data received: 1011712
[15:58:45]  [TCP] File data received: 1013760
[15:58:45]  [TCP] File data received: 1015808
[15:58:45]  [TCP] File data received: 1017856
[15:58:45]  [TCP] File data received: 1019904
[15:58:45]  [TCP] File data received: 1021952
[15:58:45]  [TCP] File data received: 1024000
[15:58:45]  [TCP] File data received: 1026048
[15:58:45]  [TCP] File data received: 1028096
[15:58:45]  [TCP] File data received: 1030144
[15:58:45]  [TCP] File data received: 1032192
[15:58:45]  [TCP] File data received: 1034240
[15:58:45]  [TCP] File data received: 1036288
[15:58:45]  [TCP] File data received: 1038336
[15:58:45]  [TCP] File data received: 1040384
[15:58:45]  [TCP] File data received: 1042432
[15:58:45]  [TCP] File data received: 1044480
[15:58:45]  [TCP] File data received: 1046528
[15:58:45]  [TCP] File data received: 1048576
[15:58:45]  [TCP] File data received: 1050624
[15:58:45]  [TCP] File data received: 1052672
[15:58:45]  [TCP] File data received: 1054720
[15:58:45]  [TCP] File data received: 1056768
[15:58:45]  [TCP] File data received: 1058816
[15:58:45]  [TCP] File data received: 1060864
[15:58:45]  [TCP] File data received: 1062912
[15:58:45]  [TCP] File data received: 1064960
[15:58:45]  [TCP] File data received: 1067008
[15:58:45]  [TCP] File data received: 1069056
[15:58:45]  [TCP] File data received: 1071104
[15:58:45]  [TCP] File data received: 1073152
[15:58:45]  [TCP] File data received: 1075200
[15:58:45]  [TCP] File data received: 1077248
[15:58:45]  [TCP] File data received: 1079296
[15:58:45]  [TCP] File data received: 1081344
[15:58:45]  [TCP] File data received: 1083392
[15:58:45]  [TCP] File data received: 1085440
[15:58:45]  [TCP] File data received: 1087488
[15:58:45]  [TCP] File data received: 1089536
[15:58:45]  [TCP] File data received: 1091584
[15:58:45]  [TCP] File data received: 1093632
[15:58:45]  [TCP] File data received: 1095680
[15:58:45]  [TCP] File data received: 1097728
[15:58:45]  [TCP] File data received: 1099776
[15:58:45]  [TCP] File data received: 1101824
[15:58:45]  [TCP] File data received: 1103872
[15:58:45]  [TCP] File data received: 1105920
[15:58:45]  [TCP] File data received: 1107968
[15:58:45]  [TCP] File data received: 1110016
[15:58:45]  [TCP] File data received: 1112064
[15:58:45]  [TCP] File data received: 1114112
[15:58:45]  [TCP] File data received: 1116160
[15:58:45]  [TCP] File data received: 1118208
[15:58:45]  [TCP] File data received: 1120256
[15:58:45]  [TCP] File data received: 1122304
[15:58:45]  [TCP] File data received: 1124352
[15:58:45]  [TCP] File data received: 1126400
[15:58:45]  [TCP] File data received: 1128448
[15:58:45]  [TCP] File data received: 1130496
[15:58:45]  [TCP] File data received: 1132544
[15:58:45]  [TCP] File data received: 1134592
[15:58:45]  [TCP] File data received: 1136640
[15:58:45]  [TCP] File data received: 1138688
[15:58:45]  [TCP] File data received: 1140736
[15:58:45]  [TCP] File data received: 1142784
[15:58:45]  [TCP] File data received: 1144832
[15:58:45]  [TCP] File data received: 1146880
[15:58:45]  [TCP] File data received: 1148928
[15:58:45]  [TCP] File data received: 1150976
[15:58:45]  [TCP] File data received: 1153024
[15:58:45]  [TCP] File data received: 1155072
[15:58:45]  [TCP] File data received: 1157120
[15:58:45]  [TCP] File data received: 1159168
[15:58:45]  [TCP] File data received: 1161216
[15:58:45]  [TCP] File data received: 1163264
[15:58:45]  [TCP] File data received: 1165312
